Model,R2,RMSE,Model Size (MB),Inference Time (s)
Baseline Random Forest,0.9516245855497497,161.7712801679476,9.602570533752441,0.4427356719970703
Feature Selection RF,0.8630432850410952,272.1953727943711,12.140671730041504,0.5393943786621094
Compressed RF,0.8898510199153709,244.10648264360555,0.2166757583618164,0.03886055946350098
